Date,Open,High,Low,Close
2022-12-26,7.452,7.456,7.442,7.442
2022-12-23,7.436,7.436,7.436,7.436
2022-12-22,7.428,7.428,7.396,7.396
2022-12-21,7.419,7.428,7.412,7.412
2022-12-20,7.438,7.438,7.373,7.373
2022-12-19,7.419,7.419,7.38,7.38
2022-12-16,7.363,7.363,7.363,7.363
2022-12-15,7.382,7.428,7.342,7.342
2022-12-14,7.373,7.373,7.324,7.324
2022-12-13,7.41,7.41,7.368,7.368
2022-12-12,7.404,7.404,7.404,7.404
2022-12-09,7.396,7.415,7.396,7.415
2022-12-08,7.37,7.37,7.37,7.37
2022-12-07,7.4,7.4,7.353,7.353
2022-12-06,7.345,7.373,7.336,7.336
2022-12-05,7.359,7.359,7.315,7.315
2022-12-02,7.342,7.424,7.336,7.424
2022-12-01,7.373,7.388,7.373,7.388
2022-11-30,7.451,7.451,7.451,7.451
2022-11-29,7.4,7.4,7.391,7.399
2022-11-28,7.382,7.388,7.367,7.388
2022-11-25,7.391,7.391,7.356,7.356
2022-11-24,7.405,7.405,7.368,7.373
2022-11-23,7.41,7.41,7.41,7.41
2022-11-22,7.384,7.384,7.384,7.384
2022-11-21,7.442,7.442,7.411,7.411
2022-11-18,7.399,7.399,7.399,7.399
2022-11-17,7.397,7.397,7.397,7.397
2022-11-16,7.387,7.387,7.387,7.387
2022-11-15,7.393,7.393,7.393,7.393
2022-11-14,7.408,7.408,7.408,7.408
2022-11-11,7.413,7.413,7.413,7.413
2022-11-10,7.426,7.426,7.426,7.426
2022-11-09,7.478,7.478,7.478,7.478
2022-11-07,7.511,7.511,7.511,7.511
2022-11-04,7.545,7.545,7.545,7.545
2022-11-03,7.568,7.568,7.568,7.568
2022-11-02,7.481,7.481,7.481,7.481
2022-11-01,7.476,7.476,7.476,7.476
2022-10-31,7.506,7.506,7.506,7.506
2022-10-28,7.472,7.472,7.472,7.472
2022-10-27,7.472,7.472,7.472,7.472
2022-10-25,7.496,7.496,7.496,7.496
2022-10-21,7.57,7.57,7.57,7.57
2022-10-20,7.54,7.54,7.54,7.54
2022-10-19,7.527,7.527,7.527,7.527
2022-10-18,7.507,7.507,7.507,7.507
2022-10-17,7.504,7.504,7.504,7.504
2022-10-14,7.554,7.554,7.554,7.554
2022-10-13,7.459,7.459,7.459,7.459
2022-10-12,7.443,7.443,7.443,7.443
2022-10-11,7.47,7.47,7.47,7.47
2022-10-10,7.522,7.522,7.522,7.522
2022-10-07,7.436,7.436,7.436,7.436
2022-10-06,7.4,7.4,7.4,7.4
2022-10-04,7.343,7.343,7.343,7.343
2022-10-03,7.458,7.458,7.458,7.458
2022-09-30,7.489,7.489,7.489,7.489
2022-09-29,7.435,7.435,7.435,7.435
2022-09-28,7.45,7.45,7.45,7.45
2022-09-27,7.41,7.41,7.41,7.41
2022-09-26,7.484,7.484,7.484,7.484
2022-09-23,7.487,7.487,7.487,7.487
2022-09-22,7.396,7.396,7.396,7.396
2022-09-21,7.33,7.33,7.33,7.33
2022-09-20,7.363,7.363,7.363,7.363
2022-09-19,7.34,7.34,7.34,7.34
2022-09-16,7.335,7.335,7.335,7.335
2022-09-15,7.311,7.311,7.311,7.311
2022-09-14,7.251,7.251,7.251,7.251
2022-09-13,7.216,7.216,7.216,7.216
2022-09-12,7.27,7.27,7.27,7.27
2022-09-09,7.267,7.267,7.267,7.267
2022-09-08,7.252,7.252,7.252,7.252
2022-09-07,7.297,7.297,7.297,7.297
2022-09-06,7.317,7.317,7.317,7.317
2022-09-05,7.343,7.343,7.343,7.343
2022-09-02,7.358,7.358,7.358,7.358
2022-09-01,7.34,7.34,7.34,7.34
2022-08-30,7.427,7.427,7.312,7.312
2022-08-29,7.426,7.426,7.426,7.426
2022-08-26,7.344,7.344,7.344,7.344
2022-08-25,7.41,7.41,7.41,7.41
2022-08-24,7.472,7.472,7.439,7.439
2022-08-23,7.426,7.426,7.426,7.426
2022-08-22,7.42,7.42,7.42,7.42
2022-08-19,7.483,7.483,7.416,7.416
2022-08-18,7.395,7.395,7.395,7.395
2022-08-17,7.487,7.487,7.345,7.345
2022-08-12,7.577,7.577,7.452,7.452
2022-08-11,7.508,7.508,7.508,7.508
2022-08-10,7.544,7.544,7.544,7.544
