Date,Open,High,Low,Close,Volume
2000-01-03,840.0,846.0,820.0,830.0,2426.0
2000-01-04,830.0,841.0,823.0,836.0,1957.0
2000-01-05,840.0,850.0,828.0,831.0,3975.0
2000-01-06,830.0,847.0,824.0,841.0,3454.0
2000-01-07,848.0,855.0,836.0,853.0,5008.0
2000-01-10,848.0,855.0,837.0,839.0,3900.0
2000-01-11,838.0,853.0,836.0,846.0,2073.0
2000-01-12,848.0,855.0,843.0,854.0,2458.0
2000-01-13,854.0,875.0,845.0,871.0,7037.0
2000-01-14,870.0,872.0,847.0,850.0,4477.0
2000-01-18,835.0,837.0,825.0,828.0,6976.0
2000-01-19,828.0,845.0,815.0,844.0,5731.0
2000-01-20,841.0,859.0,840.0,853.0,4759.0
2000-01-21,857.0,865.0,848.0,861.0,5036.0
2000-01-24,858.0,866.0,842.0,844.0,2671.0
2000-01-25,845.0,846.0,835.0,838.0,2973.0
2000-01-26,834.0,854.0,831.0,846.0,3964.0
2000-01-27,848.0,852.0,820.0,823.0,5849.0
2000-01-28,829.0,836.0,805.0,811.0,7540.0
2000-01-31,810.0,812.0,794.0,795.0,6201.0
2000-02-01,780.0,793.0,757.0,763.0,8622.0
2000-02-02,775.0,779.0,763.0,766.0,5044.0
2000-02-03,770.0,778.0,765.0,774.0,3021.0
2000-02-04,774.0,774.0,751.0,765.0,4604.0
2000-02-07,765.0,785.0,761.0,783.0,5579.0
2000-02-08,781.0,788.0,761.0,767.0,6178.0
2000-02-09,767.0,785.0,767.0,784.0,7150.0
2000-02-10,775.0,782.0,774.0,776.0,5701.0
2000-02-11,770.0,775.0,750.0,759.0,7767.0
2000-02-14,755.0,764.0,735.0,740.0,13644.0
2000-02-15,745.0,760.0,742.0,748.0,1547.0
2000-02-16,760.0,770.0,751.0,764.0,2052.0
2000-02-17,767.0,784.0,764.0,781.0,887.0
2000-02-18,788.0,790.0,773.0,780.0,887.0
2000-02-22,770.0,778.0,760.0,760.0,67.0
2000-02-23,765.0,772.0,763.0,769.0,50.0
2000-02-24,780.0,805.0,760.0,767.0,187.0
2000-02-25,765.0,767.0,734.0,734.0,49.0
2000-02-28,735.0,748.0,732.0,740.0,148.0
2000-02-29,730.0,754.0,730.0,753.0,17.0
2000-03-01,755.0,759.0,745.0,759.0,11.0
2000-03-02,770.0,791.0,770.0,791.0,35.0
2000-03-03,814.0,814.0,800.0,805.0,11.0
2000-03-06,805.0,805.0,775.0,802.0,10.0
2000-03-07,815.0,829.0,810.0,819.0,10.0
2000-03-08,820.0,829.0,802.0,829.0,9.0
2000-03-09,840.0,868.0,815.0,819.0,22.0
2000-03-10,835.0,845.0,808.0,840.0,13.0
2000-03-13,845.0,860.0,800.0,860.0,10.0
2000-03-14,873.0,880.0,842.0,880.0,32.0
2000-03-15,826.0,893.0,825.0,846.0,14.0
2000-03-16,910.0,910.0,862.0,878.0,0.0
2000-03-17,917.0,929.0,893.0,898.0,7745.0
2000-03-20,885.0,891.0,851.0,857.0,6808.0
2000-03-21,862.0,870.0,845.0,868.0,5489.0
2000-03-22,862.0,875.0,856.0,871.0,3627.0
2000-03-23,868.0,883.0,860.0,876.0,3136.0
2000-03-24,862.0,866.0,828.0,840.0,7655.0
2000-03-27,840.0,840.0,792.0,797.0,9678.0
2000-03-28,792.0,819.0,786.0,815.0,5519.0
2000-03-29,820.0,833.0,792.0,796.0,6670.0
2000-03-30,796.0,807.0,790.0,794.0,4101.0
2000-03-31,804.0,811.0,794.0,800.0,4065.0
2000-04-03,785.0,804.0,783.0,784.0,3907.0
2000-04-04,785.0,814.0,785.0,809.0,4543.0
2000-04-05,817.0,819.0,806.0,811.0,2865.0
2000-04-06,820.0,838.0,818.0,825.0,4478.0
2000-04-07,815.0,820.0,806.0,810.0,4707.0
2000-04-10,808.0,810.0,793.0,807.0,6551.0
2000-04-11,808.0,819.0,801.0,803.0,6944.0
2000-04-12,796.0,809.0,793.0,802.0,7164.0
2000-04-13,795.0,822.0,795.0,815.0,11975.0
2000-04-14,815.0,824.0,799.0,807.0,2174.0
2000-04-17,800.0,830.0,797.0,824.0,317.0
2000-04-18,835.0,850.0,830.0,837.0,343.0
2000-04-19,837.0,846.0,805.0,813.0,430.0
2000-04-20,813.0,815.0,794.0,803.0,102.0
2000-04-24,803.0,804.0,760.0,764.0,105.0
2000-04-25,764.0,775.0,763.0,769.0,38.0
2000-04-26,770.0,780.0,765.0,765.0,14.0
2000-04-27,755.0,768.0,753.0,755.0,41.0
2000-04-28,760.0,763.0,747.0,747.0,15.0
2000-05-01,752.0,767.0,740.0,764.0,25.0
2000-05-02,784.0,784.0,756.0,763.0,11.0
2000-05-03,755.0,772.0,755.0,772.0,2.0
2000-05-04,781.0,781.0,767.0,772.0,10.0
2000-05-05,773.0,773.0,771.0,771.0,3.0
2000-05-08,775.0,775.0,743.0,748.0,5.0
2000-05-09,753.0,769.0,751.0,769.0,9.0
2000-05-10,772.0,772.0,765.0,765.0,2.0
2000-05-11,800.0,800.0,796.0,796.0,3.0
2000-05-12,778.0,778.0,778.0,778.0,8.0
2000-05-15,781.0,795.0,781.0,783.0,0.0
2000-05-16,810.0,840.0,810.0,837.0,5369.0
2000-05-17,839.0,840.0,812.0,821.0,4760.0
2000-05-18,814.0,833.0,812.0,829.0,2770.0
2000-05-19,842.0,865.0,842.0,857.0,9070.0
2000-05-22,853.0,859.0,837.0,840.0,3720.0
2000-05-23,838.0,848.0,833.0,834.0,3681.0
2000-05-24,835.0,859.0,832.0,850.0,6341.0
2000-05-25,866.0,874.0,826.0,831.0,8666.0
2000-05-26,835.0,843.0,821.0,835.0,3538.0
2000-05-30,835.0,842.0,828.0,830.0,2671.0
2000-05-31,837.0,844.0,829.0,842.0,3929.0
2000-06-01,840.0,850.0,839.0,848.0,3041.0
2000-06-02,855.0,858.0,843.0,848.0,5317.0
2000-06-05,843.0,845.0,828.0,831.0,5182.0
2000-06-06,834.0,840.0,828.0,832.0,4374.0
2000-06-07,827.0,827.0,806.0,817.0,8114.0
2000-06-08,822.0,872.0,815.0,869.0,11562.0
2000-06-09,865.0,885.0,846.0,849.0,5806.0
2000-06-12,845.0,854.0,838.0,850.0,4999.0
2000-06-13,855.0,866.0,845.0,846.0,5152.0
2000-06-14,850.0,855.0,845.0,849.0,4113.0
2000-06-15,845.0,860.0,843.0,849.0,5266.0
2000-06-16,855.0,858.0,847.0,849.0,7848.0
2000-06-19,850.0,853.0,832.0,837.0,635.0
2000-06-20,832.0,837.0,810.0,834.0,271.0
2000-06-21,834.0,855.0,834.0,855.0,86.0
2000-06-22,860.0,905.0,857.0,903.0,112.0
2000-06-23,895.0,895.0,825.0,825.0,95.0
2000-06-26,821.0,828.0,791.0,800.0,86.0
2000-06-27,805.0,818.0,805.0,808.0,22.0
2000-06-28,818.0,819.0,808.0,812.0,50.0
2000-06-29,815.0,815.0,809.0,813.0,48.0
2000-06-30,805.0,826.0,805.0,820.0,48.0
2000-07-05,847.0,847.0,808.0,819.0,2.0
2000-07-06,821.0,821.0,803.0,812.0,3.0
2000-07-07,830.0,830.0,814.0,826.0,3.0
2000-07-10,823.0,823.0,823.0,823.0,0.0
2000-07-11,828.0,830.0,826.0,830.0,2.0
2000-07-12,820.0,823.0,813.0,813.0,24.0
2000-07-13,816.0,831.0,816.0,831.0,3.0
2000-07-14,819.0,820.0,816.0,816.0,0.0
2000-07-17,832.0,844.0,828.0,841.0,3202.0
2000-07-18,840.0,853.0,838.0,849.0,3614.0
2000-07-19,845.0,858.0,840.0,856.0,11339.0
2000-07-20,855.0,898.0,854.0,886.0,6027.0
2000-07-21,887.0,891.0,872.0,887.0,6610.0
2000-07-24,875.0,875.0,838.0,840.0,3284.0
2000-07-25,850.0,855.0,832.0,851.0,3358.0
2000-07-26,845.0,854.0,841.0,847.0,2261.0
2000-07-27,851.0,851.0,839.0,843.0,2150.0
2000-07-28,841.0,845.0,837.0,843.0,4336.0
2000-07-31,835.0,840.0,822.0,825.0,6406.0
2000-08-01,820.0,826.0,805.0,821.0,4177.0
2000-08-02,814.0,829.0,812.0,824.0,5700.0
2000-08-03,820.0,820.0,786.0,798.0,7285.0
2000-08-04,798.0,798.0,767.0,777.0,3965.0
2000-08-07,772.0,784.0,760.0,762.0,3757.0
2000-08-08,765.0,778.0,765.0,773.0,4776.0
2000-08-09,773.0,775.0,747.0,750.0,2938.0
2000-08-10,755.0,772.0,755.0,769.0,3032.0
2000-08-11,780.0,780.0,767.0,769.0,0.0
2000-08-14,769.0,774.0,764.0,770.0,4894.0
2000-08-15,767.0,776.0,767.0,769.0,5843.0
2000-08-16,768.0,768.0,757.0,762.0,6884.0
2000-08-17,766.0,774.0,750.0,751.0,796.0
2000-08-18,756.0,760.0,749.0,750.0,217.0
2000-08-21,749.0,766.0,748.0,754.0,44.0
2000-08-22,750.0,766.0,750.0,751.0,48.0
2000-08-23,759.0,759.0,735.0,740.0,75.0
2000-08-24,747.0,770.0,747.0,750.0,62.0
2000-08-25,735.0,752.0,735.0,744.0,12.0
2000-08-28,750.0,750.0,745.0,749.0,12.0
2000-08-29,737.0,750.0,737.0,744.0,14.0
2000-08-30,743.0,760.0,738.0,760.0,24.0
2000-08-31,760.0,760.0,745.0,745.0,21.0
2000-09-01,750.0,757.0,748.0,757.0,17.0
2000-09-05,778.0,790.0,773.0,775.0,5.0
2000-09-06,770.0,780.0,770.0,780.0,15.0
2000-09-07,759.0,761.0,759.0,761.0,21.0
2000-09-08,760.0,778.0,760.0,778.0,0.0
2000-09-11,767.0,767.0,767.0,767.0,28.0
2000-09-12,773.0,778.0,773.0,778.0,6.0
2000-09-13,796.0,798.0,793.0,798.0,0.0
2000-09-14,775.0,775.0,775.0,775.0,3214.0
2000-09-15,816.0,818.0,805.0,814.0,2204.0
2000-09-18,825.0,826.0,808.0,809.0,2817.0
2000-09-19,812.0,812.0,801.0,803.0,4882.0
2000-09-20,805.0,813.0,787.0,788.0,2128.0
2000-09-21,795.0,804.0,789.0,803.0,3197.0
2000-09-22,815.0,816.0,798.0,812.0,5157.0
2000-09-25,809.0,813.0,780.0,782.0,3883.0
2000-09-26,785.0,795.0,785.0,792.0,4098.0
2000-09-27,795.0,797.0,777.0,783.0,2891.0
2000-09-28,788.0,795.0,787.0,794.0,4094.0
2000-09-29,788.0,807.0,781.0,797.0,1717.0
2000-10-02,792.0,796.0,786.0,789.0,4286.0
2000-10-03,785.0,809.0,782.0,807.0,6677.0
2000-10-04,805.0,829.0,800.0,828.0,8801.0
2000-10-05,828.0,846.0,820.0,835.0,3272.0
2000-10-06,830.0,833.0,819.0,830.0,1712.0
2000-10-09,825.0,825.0,815.0,816.0,3227.0
2000-10-10,817.0,839.0,815.0,833.0,3651.0
2000-10-11,833.0,835.0,818.0,827.0,2055.0
2000-10-12,814.0,829.0,813.0,819.0,3443.0
2000-10-13,814.0,831.0,810.0,813.0,4363.0
2000-10-16,810.0,817.0,804.0,806.0,3193.0
2000-10-17,804.0,825.0,803.0,822.0,1646.0
2000-10-18,818.0,822.0,813.0,816.0,0.0
2000-10-19,818.0,819.0,811.0,814.0,5138.0
2000-10-20,808.0,810.0,785.0,788.0,4326.0
2000-10-23,791.0,797.0,778.0,784.0,6758.0
2000-10-24,785.0,815.0,783.0,809.0,6311.0
2000-10-25,795.0,802.0,773.0,775.0,3580.0
2000-10-26,788.0,795.0,780.0,787.0,7118.0
2000-10-27,775.0,779.0,761.0,762.0,5458.0
2000-10-30,771.0,773.0,755.0,757.0,2356.0
2000-10-31,757.0,764.0,752.0,755.0,4191.0
2000-11-01,752.0,762.0,750.0,753.0,4147.0
2000-11-02,758.0,766.0,755.0,764.0,4317.0
2000-11-03,764.0,764.0,747.0,749.0,6507.0
2000-11-06,750.0,758.0,740.0,743.0,4168.0
2000-11-07,740.0,748.0,739.0,746.0,4487.0
2000-11-08,745.0,749.0,733.0,734.0,4484.0
2000-11-09,738.0,741.0,735.0,738.0,4757.0
2000-11-10,736.0,740.0,729.0,730.0,13479.0
2000-11-13,725.0,729.0,707.0,709.0,10124.0
2000-11-14,704.0,715.0,691.0,694.0,989.0
2000-11-15,695.0,712.0,693.0,700.0,190.0
2000-11-16,700.0,706.0,700.0,700.0,193.0
2000-11-17,705.0,710.0,700.0,700.0,81.0
2000-11-20,700.0,705.0,696.0,696.0,109.0
2000-11-21,695.0,700.0,693.0,700.0,109.0
2000-11-22,698.0,698.0,690.0,690.0,62.0
2000-11-27,685.0,691.0,680.0,682.0,58.0
