Ticker,Length,Start Date,End Date,Highest,Lowest,Last Price
AORD,9706.0,1984-08-03,2022-12-23,7956.2998046875,706.2000122070312,7280.0
AXJO,7607.0,1992-11-23,2022-12-23,7632.7998046875,1442.0999755859375,7097.10009765625
BFX,8045.0,1991-04-09,2022-12-22,4759.009765625,1038.5,3723.14990234375
BSESN,6279.0,1997-07-01,2022-12-23,63583.0703125,2594.8701171875,60188.0703125
BUK100P,3104.0,2010-09-17,2022-12-22,791.2000122070312,489.4200134277344,746.5599975585938
BVSP,7340.0,1993-04-27,2022-12-22,131190.0,23.700000762939453,107317.0
DJI,7804.0,1992-01-02,2022-12-22,36952.6484375,3095.7900390625,33027.48828125
FCHI,8330.0,1990-03-01,2022-12-22,7384.85986328125,1425.0,6517.97021484375
FTSE,9847.0,1984-01-03,2022-12-22,7903.5,978.7000122070312,7469.2998046875
GSPC,23860.0,1927-12-30,2022-12-22,4818.6201171875,4.400000095367432,3822.389892578125
HSI,8888.0,1986-12-31,2022-12-23,33484.078125,1894.9000244140625,19578.439453125
IMOEX,2408.0,2013-03-05,2022-12-22,4292.68017578125,1182.8900146484375,2122.909912109375
,,,,,,
IXIC,13086.0,1971-02-05,2022-12-22,16212.23046875,54.869998931884766,10476.1201171875
KS11,6418.0,1996-12-11,2022-12-23,3316.080078125,277.3699951171875,2321.949951171875
N100,5878.0,1999-12-31,2022-12-22,1391.4000244140625,419.489990234375,1243.81005859375
N225,14257.0,1965-01-05,2022-12-23,38957.44140625,1020.489990234375,26264.470703125
NSEBANK,3472.0,2007-09-17,2022-12-23,44151.80078125,3314.550048828125,41939.6015625
NSEI,3742.0,2007-09-17,2022-12-23,18887.599609375,2252.75,17941.900390625
NZ50,4921.0,2003-01-03,2022-12-23,13643.7802734375,1869.719970703125,11494.9599609375
STI,8740.0,1987-12-28,2022-12-23,3906.159912109375,800.27001953125,3255.260009765625
STOXX50E,3946.0,2007-03-30,2022-12-22,4572.81982421875,1765.489990234375,3823.2900390625
TWII,6259.0,1997-07-02,2022-12-23,18619.609375,3411.666836454307,14273.0595703125
VIX,8310.0,1990-01-02,2022-12-22,89.52999877929688,8.5600004196167,21.96999931335449
