Symbol,Name,Country,Sector,IPO Year,Industry
AAPL,Apple Inc. Common Stock,United States,Technology,1980.0,Computer Manufacturing
MSFT,Microsoft Corporation Common Stock,United States,Technology,1986.0,Computer Software: Prepackaged Software
GOOG,Alphabet Inc. Class C Capital Stock,United States,Technology,2004.0,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,United States,Technology,2004.0,Internet and Information Services
AMZN,Amazon.com Inc. Common Stock,United States,Consumer Discretionary,1997.0,Catalog/Specialty Distribution
UNH,UnitedHealth Group Incorporated Common Stock (DE),United States,Health Care,,Medical Specialities
JNJ,Johnson & Johnson Common Stock,United States,Health Care,,Biotechnology: Pharmaceutical Preparations
XOM,Exxon Mobil Corporation Common Stock,United States,Energy,,Oil & Gas Production
V,Visa Inc.,United States,Consumer Discretionary,,Business Services
TSLA,Tesla Inc. Common Stock,United States,Consumer Discretionary,2010.0,Auto Manufacturing
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Taiwan,Technology,1997.0,Semiconductors
WMT,Walmart Inc. Common Stock,United States,Consumer Discretionary,,Department/Specialty Retail Stores
JPM,JP Morgan Chase & Co. Common Stock,United States,Finance,,Major Banks
NVDA,NVIDIA Corporation Common Stock,United States,Technology,1999.0,Semiconductors
PG,Procter & Gamble Company (The) Common Stock,United States,Consumer Discretionary,,Package Goods/Cosmetics
LLY,Eli Lilly and Company Common Stock,United States,Health Care,,Biotechnology: Pharmaceutical Preparations
CVX,Chevron Corporation Common Stock,United States,Energy,,Integrated oil Companies
MA,Mastercard Incorporated Common Stock,United States,Consumer Discretionary,2006.0,Business Services
HD,Home Depot Inc. (The) Common Stock,United States,Consumer Discretionary,,RETAIL: Building Materials
META,Meta Platforms Inc. Class A Common Stock,United States,Technology,2012.0,Internet and Information Services
NVO,Novo Nordisk A/S Common Stock,Denmark,Health Care,,Biotechnology: Pharmaceutical Preparations
PFE,Pfizer Inc. Common Stock,United States,Health Care,,Biotechnology: Pharmaceutical Preparations
ABBV,AbbVie Inc. Common Stock,United States,Health Care,2012.0,Other Pharmaceuticals
MRK,Merck & Company Inc. Common Stock (new),United States,Health Care,,Biotechnology: Pharmaceutical Preparations
KO,Coca-Cola Company (The) Common Stock,United States,Consumer Staples,,Beverages (Production/Distribution)
BAC,Bank of America Corporation Common Stock,United States,Finance,,Major Banks
PEP,PepsiCo Inc. Common Stock,United States,Consumer Staples,,Beverages (Production/Distribution)
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,China,Consumer Discretionary,2014.0,Catalog/Specialty Distribution
AVGO,Broadcom Inc. Common Stock,United States,Technology,2009.0,Semiconductors
ASML,ASML Holding N.V. New York Registry Shares,Netherlands,Technology,1995.0,Industrial Machinery/Components
GEN,Gen Digital Inc. Common Stock,United States,Technology,,Computer Software: Prepackaged Software
ORCL,Oracle Corporation Common Stock,United States,Technology,1986.0,Computer Software: Prepackaged Software
TMO,Thermo Fisher Scientific Inc Common Stock,United States,Industrials,,Biotechnology: Laboratory Analytical Instruments
AZN,AstraZeneca PLC American Depositary Shares,United Kingdom,Health Care,,Biotechnology: Pharmaceutical Preparations
COST,Costco Wholesale Corporation Common Stock,United States,Consumer Discretionary,,Department/Specialty Retail Stores
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,Netherlands,Energy,2022.0,Oil & Gas Production
NVS,Novartis AG Common Stock,Switzerland,Health Care,,Biotechnology: Pharmaceutical Preparations
MCD,McDonald's Corporation Common Stock,United States,Consumer Discretionary,,Restaurants
CSCO,Cisco Systems Inc. Common Stock (DE),United States,Telecommunications,1990.0,Computer Communications Equipment
ABT,Abbott Laboratories Common Stock,United States,Health Care,,Medical/Dental Instruments
DHR,Danaher Corporation Common Stock,United States,Health Care,,Medical Specialities
TM,Toyota Motor Corporation Common Stock,Japan,Consumer Discretionary,,Auto Manufacturing
NKE,Nike Inc. Common Stock,United States,Consumer Discretionary,,Shoe Manufacturing
TMUS,T-Mobile US Inc. Common Stock,United States,Telecommunications,,Telecommunications Equipment
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,Technology,2001.0,EDP Services
NEE,NextEra Energy Inc. Common Stock,United States,Utilities,,Electric Utilities: Central
LIN,Linde plc Ordinary Share,,Industrials,2018.0,Major Chemicals
VZ,Verizon Communications Inc. Common Stock,United States,Telecommunications,,Telecommunications Equipment
DIS,Walt Disney Company (The) Common Stock,United States,Consumer Discretionary,,Movies/Entertainment
BMY,Bristol-Myers Squibb Company Common Stock,United States,Health Care,,Biotechnology: Pharmaceutical Preparations
ADBE,Adobe Inc. Common Stock,United States,Technology,1986.0,Computer Software: Prepackaged Software
PM,Philip Morris International Inc Common Stock,United States,Health Care,, Medicinal Chemicals and Botanical Products 
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Australia,Basic Materials,,Metal Mining
WFC,Wells Fargo & Company Common Stock,United States,Finance,,Major Banks
TTE,TotalEnergies SE,France,Energy,,Oil & Gas Production
UPS,United Parcel Service Inc. Common Stock,United States,Consumer Discretionary,1999.0,Air Freight/Delivery Services
SCHW,Charles Schwab Corporation (The) Common Stock,United States,Finance,,Investment Bankers/Brokers/Service
CMCSA,Comcast Corporation Class A Common Stock,United States,Consumer Discretionary,,Telecommunications Equipment
TXN,Texas Instruments Incorporated Common Stock,United States,Technology,,Semiconductors
MS,Morgan Stanley Common Stock,United States,Finance,,Investment Bankers/Brokers/Service
RTX,Raytheon Technologies Corporation Common Stock,United States,Industrials,,Military/Government/Technical
HON,Honeywell International Inc. Common Stock,United States,Industrials,,Consumer Electronics/Appliances
AMGN,Amgen Inc. Common Stock,United States,Health Care,1983.0,Biotechnology: Pharmaceutical Preparations
COP,ConocoPhillips Common Stock,United States,Energy,,Integrated oil Companies
NFLX,Netflix Inc. Common Stock,United States,Consumer Discretionary,2002.0,Consumer Electronics/Video Chains
T,AT&T Inc.,United States,Consumer Discretionary,,Telecommunications Equipment
DE,Deere & Company Common Stock,United States,Industrials,,Industrial Machinery/Components
CRM,Salesforce Inc. Common Stock,United States,Technology,2004.0,Computer Software: Prepackaged Software
UL,Unilever PLC Common Stock,United Kingdom,Consumer Discretionary,,Package Goods/Cosmetics
UNP,Union Pacific Corporation Common Stock,United States,Industrials,,Railroads
IBM,International Business Machines Corporation Common Stock,United States,Technology,,EDP Services
HDB,HDFC Bank Limited Common Stock,India,Finance,2001.0,Commercial Banks
LMT,Lockheed Martin Corporation Common Stock,United States,Industrials,,Aerospace
QCOM,QUALCOMM Incorporated Common Stock,United States,Technology,1991.0,Computer peripheral equipment
CAT,Caterpillar Inc. Common Stock,United States,Industrials,,Construction/Ag Equipment/Trucks
HSBC,HSBC Holdings plc. Common Stock,United Kingdom,Finance,,Savings Institutions
CVS,CVS Health Corporation Common Stock,United States,Health Care,,Managed Health Care
ELV,Elevance Health Inc. Common Stock,United States,Health Care,,Medical Specialities
SAP,SAP  SE ADS,Germany,Technology,,Computer Software: Prepackaged Software
SNY,Sanofi ADS,France,Health Care,,Biotechnology: Pharmaceutical Preparations
LOW,Lowe's Companies Inc. Common Stock,United States,Consumer Discretionary,,RETAIL: Building Materials
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Belgium,Consumer Staples,,Beverages (Production/Distribution)
GS,Goldman Sachs Group Inc. (The) Common Stock,United States,Finance,1999.0,Investment Bankers/Brokers/Service
EQNR,Equinor ASA,Norway,Energy,,Integrated oil Companies
RIO,Rio Tinto Plc Common Stock,Australia,Basic Materials,2002.0,Metal Mining
SBUX,Starbucks Corporation Common Stock,United States,Consumer Discretionary,1992.0,Beverages - Non-Alcoholic
BA,Boeing Company (The) Common Stock,United States,Industrials,,Aerospace
AXP,American Express Company Common Stock,United States,Finance,,Finance: Consumer Services
SPGI,S&P Global Inc. Common Stock,United States,Finance,,Advertising
PDD,Pinduoduo Inc. American Depositary Shares,China,Consumer Discretionary,2018.0,Catalog/Specialty Distribution
INTU,Intuit Inc. Common Stock,United States,Technology,1993.0,Computer Software: Prepackaged Software
INTC,Intel Corporation Common Stock,United States,Technology,,Semiconductors
GILD,Gilead Sciences Inc. Common Stock,United States,Health Care,1992.0,Biotechnology: Pharmaceutical Preparations
BLK,BlackRock Inc. Common Stock,United States,Finance,1999.0,Investment Bankers/Brokers/Service
