Symbol,Name,Industry
ABB,ABB India Ltd.,Capital Goods
ACC,ACC Ltd.,Construction Materials
AUBANK,AU Small Finance Bank Ltd.,Financial Services
ABBOTINDIA,Abbott India Ltd.,Healthcare
ADANIENT,Adani Enterprises Ltd.,Metals & Mining
ADANIGREEN,Adani Green Energy Ltd.,Power
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ADANITRANS,Adani Transmission Ltd.,Power
AWL,Adani Wilmar Ltd.,Fast Moving Consumer Goods
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services
ALKEM,Alkem Laboratories Ltd.,Healthcare
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods
ASIANPAINT,Asian Paints Ltd.,Consumer Durables
ASTRAL,Astral Ltd.,Capital Goods
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare
DMART,Avenue Supermarts Ltd.,Consumer Services
AXISBANK,Axis Bank Ltd.,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components
BAJFINANCE,Bajaj Finance Ltd.,Financial Services
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components
BANDHANBNK,Bandhan Bank Ltd.,Financial Services
BANKBARODA,Bank of Baroda,Financial Services
BANKINDIA,Bank of India,Financial Services
BATAINDIA,Bata India Ltd.,Consumer Durables
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables
BEL,Bharat Electronics Ltd.,Capital Goods
BHARATFORG,Bharat Forge Ltd.,Capital Goods
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication
BIOCON,Biocon Ltd.,Healthcare
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods
CANBK,Canara Bank,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services
CIPLA,Cipla Ltd.,Healthcare
CLEAN,Clean Science and Technology Ltd.,Chemicals
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels
COFORGE,Coforge Ltd.,Information Technology
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
CONCOR,Container Corporation of India Ltd.,Services
COROMANDEL,Coromandel International Ltd.,Chemicals
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables
CUMMINSIND,Cummins India Ltd.,Capital Goods
DLF,DLF Ltd.,Realty
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals
DELHIVERY,Delhivery Ltd.,Services
DIVISLAB,Divi's Laboratories Ltd.,Healthcare
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods
ESCORTS,Escorts Kubota Ltd.,Capital Goods
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services
FEDERALBNK,Federal Bank Ltd.,Financial Services
FORTIS,Fortis Healthcare Ltd.,Healthcare
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels
GLAND,Gland Pharma Ltd.,Healthcare
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods
GODREJPROP,Godrej Properties Ltd.,Realty
GRASIM,Grasim Industries Ltd.,Construction Materials
GUJGASLTD,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels
GSPL,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels
HCLTECH,HCL Technologies Ltd.,Information Technology
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services
HDFCBANK,HDFC Bank Ltd.,Financial Services
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services
HAVELLS,Havells India Ltd.,Consumer Durables
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components
HINDALCO,Hindalco Industries Ltd.,Metals & Mining
HAL,Hindustan Aeronautics Ltd.,Capital Goods
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining
HONAUT,Honeywell Automation India Ltd.,Capital Goods
HDFC,Housing Development Finance Corporation Ltd.,Financial Services
ICICIBANK,ICICI Bank Ltd.,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services
ISEC,ICICI Securities Ltd.,Financial Services
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services
ITC,ITC Ltd.,Fast Moving Consumer Goods
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services
INDIANB,Indian Bank,Financial Services
IEX,Indian Energy Exchange Ltd.,Financial Services
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels
INDUSTOWER,Indus Towers Ltd.,Telecommunication
INDUSINDBK,IndusInd Bank Ltd.,Financial Services
NAUKRI,Info Edge (India) Ltd.,Consumer Services
INFY,Infosys Ltd.,Information Technology
INDIGO,InterGlobe Aviation Ltd.,Services
IPCALAB,Ipca Laboratories Ltd.,Healthcare
JSWENERGY,JSW Energy Ltd.,Power
JSWSTEEL,JSW Steel Ltd.,Metals & Mining
JINDALSTEL,Jindal Steel & Power Ltd.,Metals & Mining
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services
L&TFH,L&T Finance Holdings Ltd.,Financial Services
LTTS,L&T Technology Services Ltd.,Information Technology
